ANO,MES_NUM,MES,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2006,12,DICIEMBRE,1111255,2963532.717,560031.4667,780685.8833,2592256.55,599643.6167,4486322.05,3304702.05,8770812.2,1556580.183,5120960,3220068.967,2467990.533,6981564.45,14455369.02,4113642.533,1675891.4,1001547.083,4373388.967,3619958.383,5535199.8,1686228.233,1208245.45,2477537.2,2669514.283,2497448.283,2085278.7,3117892.467,1107203.117,7314523,1871322.45,1414832.8
2007,1,ENERO,1113248,2968709.4,562112.4,781814.4,2596476.4,601019.6,4494707.4,3307452.4,8772981.6,1558643.8,5130836,3224628.4,2473315.6,6991540.6,14474841.8,4120058.6,1678630.2,1003802,4380958.4,3624877.4,5541811.4,1690058.2,1211416.6,2480455.6,2672169.6,2501908.6,2089422.6,3121964.4,1108898.6,7323406,1873599.6,1416882.4
2007,2,FEBRERO ,1115241,2973886.083,564193.3333,782942.9167,2600696.25,602395.5833,4503092.75,3310202.75,8775151,1560707.417,5140712,3229187.833,2478640.667,7001516.75,14494314.58,4126474.667,1681369,1006056.917,4388527.833,3629796.417,5548423,1693888.167,1214587.75,2483374,2674824.917,2506368.917,2093566.5,3126036.333,1110594.083,7332289,1875876.75,1418932
2007,3,MARZO,1117234,2979062.767,566274.2667,784071.4333,2604916.1,603771.5667,4511478.1,3312953.1,8777320.4,1562771.033,5150588,3233747.267,2483965.733,7011492.9,14513787.37,4132890.733,1684107.8,1008311.833,4396097.267,3634715.433,5555034.6,1697718.133,1217758.9,2486292.4,2677480.233,2510829.233,2097710.4,3130108.267,1112289.567,7341172,1878153.9,1420981.6
2007,4,ABRIL,1119227,2984239.45,568355.2,785199.95,2609135.95,605147.55,4519863.45,3315703.45,8779489.8,1564834.65,5160464,3238306.7,2489290.8,7021469.05,14533260.15,4139306.8,1686846.6,1010566.75,4403666.7,3639634.45,5561646.2,1701548.1,1220930.05,2489210.8,2680135.55,2515289.55,2101854.3,3134180.2,1113985.05,7350055,1880431.05,1423031.2
2007,5,MAYO,1121220,2989416.133,570436.1333,786328.4667,2613355.8,606523.5333,4528248.8,3318453.8,8781659.2,1566898.267,5170340,3242866.133,2494615.867,7031445.2,14552732.93,4145722.867,1689585.4,1012821.667,4411236.133,3644553.467,5568257.8,1705378.067,1224101.2,2492129.2,2682790.867,2519749.867,2105998.2,3138252.133,1115680.533,7358938,1882708.2,1425080.8
2007,6,JUNIO,1123213,2994592.817,572517.0667,787456.9833,2617575.65,607899.5167,4536634.15,3321204.15,8783828.6,1568961.883,5180216,3247425.567,2499940.933,7041421.35,14572205.72,4152138.933,1692324.2,1015076.583,4418805.567,3649472.483,5574869.4,1709208.033,1227272.35,2495047.6,2685446.183,2524210.183,2110142.1,3142324.067,1117376.017,7367821,1884985.35,1427130.4
2007,7,JULIO,1125206,2999769.5,574598,788585.5,2621795.5,609275.5,4545019.5,3323954.5,8785998,1571025.5,5190092,3251985,2505266,7051397.5,14591678.5,4158555,1695063,1017331.5,4426375,3654391.5,5581481,1713038,1230443.5,2497966,2688101.5,2528670.5,2114286,3146396,1119071.5,7376704,1887262.5,1429180
2007,8,AGOSTO,1127199,3004946.183,576678.9333,789714.0167,2626015.35,610651.4833,4553404.85,3326704.85,8788167.4,1573089.117,5199968,3256544.433,2510591.067,7061373.65,14611151.28,4164971.067,1697801.8,1019586.417,4433944.433,3659310.517,5588092.6,1716867.967,1233614.65,2500884.4,2690756.817,2533130.817,2118429.9,3150467.933,1120766.983,7385587,1889539.65,1431229.6
2007,9,SEPTIEMBRE,1129192,3010122.867,578759.8667,790842.5333,2630235.2,612027.4667,4561790.2,3329455.2,8790336.8,1575152.733,5209844,3261103.867,2515916.133,7071349.8,14630624.07,4171387.133,1700540.6,1021841.333,4441513.867,3664229.533,5594704.2,1720697.933,1236785.8,2503802.8,2693412.133,2537591.133,2122573.8,3154539.867,1122462.467,7394470,1891816.8,1433279.2
2007,10,OCTUBRE,1131185,3015299.55,580840.8,791971.05,2634455.05,613403.45,4570175.55,3332205.55,8792506.2,1577216.35,5219720,3265663.3,2521241.2,7081325.95,14650096.85,4177803.2,1703279.4,1024096.25,4449083.3,3669148.55,5601315.8,1724527.9,1239956.95,2506721.2,2696067.45,2542051.45,2126717.7,3158611.8,1124157.95,7403353,1894093.95,1435328.8
2007,11,NOVIEMBRE,1133178,3020476.233,582921.7333,793099.5667,2638674.9,614779.4333,4578560.9,3334955.9,8794675.6,1579279.967,5229596,3270222.733,2526566.267,7091302.1,14669569.63,4184219.267,1706018.2,1026351.167,4456652.733,3674067.567,5607927.4,1728357.867,1243128.1,2509639.6,2698722.767,2546511.767,2130861.6,3162683.733,1125853.433,7412236,1896371.1,1437378.4
2007,12,DICIEMBRE,1135171,3025652.917,585002.6667,794228.0833,2642894.75,616155.4167,4586946.25,3337706.25,8796845,1581343.583,5239472,3274782.167,2531891.333,7101278.25,14689042.42,4190635.333,1708757,1028606.083,4464222.167,3678986.583,5614539,1732187.833,1246299.25,2512558,2701378.083,2550972.083,2135005.5,3166755.667,1127548.917,7421119,1898648.25,1439428
2008,1,ENERO,1137164,3030829.6,587083.6,795356.6,2647114.6,617531.4,4595331.6,3340456.6,8799014.4,1583407.2,5249348,3279341.6,2537216.4,7111254.4,14708515.2,4197051.4,1711495.8,1030861,4471791.6,3683905.6,5621150.6,1736017.8,1249470.4,2515476.4,2704033.4,2555432.4,2139149.4,3170827.6,1129244.4,7430002,1900925.4,1441477.6
2008,2,FEBRERO ,1139157,3036006.283,589164.5333,796485.1167,2651334.45,618907.3833,4603716.95,3343206.95,8801183.8,1585470.817,5259224,3283901.033,2542541.467,7121230.55,14727987.98,4203467.467,1714234.6,1033115.917,4479361.033,3688824.617,5627762.2,1739847.767,1252641.55,2518394.8,2706688.717,2559892.717,2143293.3,3174899.533,1130939.883,7438885,1903202.55,1443527.2
2008,3,MARZO,1141150,3041182.967,591245.4667,797613.6333,2655554.3,620283.3667,4612102.3,3345957.3,8803353.2,1587534.433,5269100,3288460.467,2547866.533,7131206.7,14747460.77,4209883.533,1716973.4,1035370.833,4486930.467,3693743.633,5634373.8,1743677.733,1255812.7,2521313.2,2709344.033,2564353.033,2147437.2,3178971.467,1132635.367,7447768,1905479.7,1445576.8
2008,4,ABRIL,1143143,3046359.65,593326.4,798742.15,2659774.15,621659.35,4620487.65,3348707.65,8805522.6,1589598.05,5278976,3293019.9,2553191.6,7141182.85,14766933.55,4216299.6,1719712.2,1037625.75,4494499.9,3698662.65,5640985.4,1747507.7,1258983.85,2524231.6,2711999.35,2568813.35,2151581.1,3183043.4,1134330.85,7456651,1907756.85,1447626.4
2008,5,MAYO,1145136,3051536.333,595407.3333,799870.6667,2663994,623035.3333,4628873,3351458,8807692,1591661.667,5288852,3297579.333,2558516.667,7151159,14786406.33,4222715.667,1722451,1039880.667,4502069.333,3703581.667,5647597,1751337.667,1262155,2527150,2714654.667,2573273.667,2155725,3187115.333,1136026.333,7465534,1910034,1449676
2008,6,JUNIO,1147129,3056713.017,597488.2667,800999.1833,2668213.85,624411.3167,4637258.35,3354208.35,8809861.4,1593725.283,5298728,3302138.767,2563841.733,7161135.15,14805879.12,4229131.733,1725189.8,1042135.583,4509638.767,3708500.683,5654208.6,1755167.633,1265326.15,2530068.4,2717309.983,2577733.983,2159868.9,3191187.267,1137721.817,7474417,1912311.15,1451725.6
2008,7,JULIO,1149122,3061889.7,599569.2,802127.7,2672433.7,625787.3,4645643.7,3356958.7,8812030.8,1595788.9,5308604,3306698.2,2569166.8,7171111.3,14825351.9,4235547.8,1727928.6,1044390.5,4517208.2,3713419.7,5660820.2,1758997.6,1268497.3,2532986.8,2719965.3,2582194.3,2164012.8,3195259.2,1139417.3,7483300,1914588.3,1453775.2
2008,8,AGOSTO,1151115,3067066.383,601650.1333,803256.2167,2676653.55,627163.2833,4654029.05,3359709.05,8814200.2,1597852.517,5318480,3311257.633,2574491.867,7181087.45,14844824.68,4241963.867,1730667.4,1046645.417,4524777.633,3718338.717,5667431.8,1762827.567,1271668.45,2535905.2,2722620.617,2586654.617,2168156.7,3199331.133,1141112.783,7492183,1916865.45,1455824.8
2008,9,SEPTIEMBRE,1153108,3072243.067,603731.0667,804384.7333,2680873.4,628539.2667,4662414.4,3362459.4,8816369.6,1599916.133,5328356,3315817.067,2579816.933,7191063.6,14864297.47,4248379.933,1733406.2,1048900.333,4532347.067,3723257.733,5674043.4,1766657.533,1274839.6,2538823.6,2725275.933,2591114.933,2172300.6,3203403.067,1142808.267,7501066,1919142.6,1457874.4
2008,10,OCTUBRE,1155101,3077419.75,605812,805513.25,2685093.25,629915.25,4670799.75,3365209.75,8818539,1601979.75,5338232,3320376.5,2585142,7201039.75,14883770.25,4254796,1736145,1051155.25,4539916.5,3728176.75,5680655,1770487.5,1278010.75,2541742,2727931.25,2595575.25,2176444.5,3207475,1144503.75,7509949,1921419.75,1459924
2008,11,NOVIEMBRE,1157094,3082596.433,607892.9333,806641.7667,2689313.1,631291.2333,4679185.1,3367960.1,8820708.4,1604043.367,5348108,3324935.933,2590467.067,7211015.9,14903243.03,4261212.067,1738883.8,1053410.167,4547485.933,3733095.767,5687266.6,1774317.467,1281181.9,2544660.4,2730586.567,2600035.567,2180588.4,3211546.933,1146199.233,7518832,1923696.9,1461973.6
2008,12,DICIEMBRE,1159087,3087773.117,609973.8667,807770.2833,2693532.95,632667.2167,4687570.45,3370710.45,8822877.8,1606106.983,5357984,3329495.367,2595792.133,7220992.05,14922715.82,4267628.133,1741622.6,1055665.083,4555055.367,3738014.783,5693878.2,1778147.433,1284353.05,2547578.8,2733241.883,2604495.883,2184732.3,3215618.867,1147894.717,7527715,1925974.05,1464023.2
2009,1,ENERO,1161080,3092949.8,612054.8,808898.8,2697752.8,634043.2,4695955.8,3373460.8,8825047.2,1608170.6,5367860,3334054.8,2601117.2,7230968.2,14942188.6,4274044.2,1744361.4,1057920,4562624.8,3742933.8,5700489.8,1781977.4,1287524.2,2550497.2,2735897.2,2608956.2,2188876.2,3219690.8,1149590.2,7536598,1928251.2,1466072.8
2009,2,FEBRERO ,1163073,3098126.483,614135.7333,810027.3167,2701972.65,635419.1833,4704341.15,3376211.15,8827216.6,1610234.217,5377736,3338614.233,2606442.267,7240944.35,14961661.38,4280460.267,1747100.2,1060174.917,4570194.233,3747852.817,5707101.4,1785807.367,1290695.35,2553415.6,2738552.517,2613416.517,2193020.1,3223762.733,1151285.683,7545481,1930528.35,1468122.4
2009,3,MARZO,1165066,3103303.167,616216.6667,811155.8333,2706192.5,636795.1667,4712726.5,3378961.5,8829386,1612297.833,5387612,3343173.667,2611767.333,7250920.5,14981134.17,4286876.333,1749839,1062429.833,4577763.667,3752771.833,5713713,1789637.333,1293866.5,2556334,2741207.833,2617876.833,2197164,3227834.667,1152981.167,7554364,1932805.5,1470172
2009,4,ABRIL,1167059,3108479.85,618297.6,812284.35,2710412.35,638171.15,4721111.85,3381711.85,8831555.4,1614361.45,5397488,3347733.1,2617092.4,7260896.65,15000606.95,4293292.4,1752577.8,1064684.75,4585333.1,3757690.85,5720324.6,1793467.3,1297037.65,2559252.4,2743863.15,2622337.15,2201307.9,3231906.6,1154676.65,7563247,1935082.65,1472221.6
2009,5,MAYO,1169052,3113656.533,620378.5333,813412.8667,2714632.2,639547.1333,4729497.2,3384462.2,8833724.8,1616425.067,5407364,3352292.533,2622417.467,7270872.8,15020079.73,4299708.467,1755316.6,1066939.667,4592902.533,3762609.867,5726936.2,1797297.267,1300208.8,2562170.8,2746518.467,2626797.467,2205451.8,3235978.533,1156372.133,7572130,1937359.8,1474271.2
2009,6,JUNIO,1171045,3118833.217,622459.4667,814541.3833,2718852.05,640923.1167,4737882.55,3387212.55,8835894.2,1618488.683,5417240,3356851.967,2627742.533,7280848.95,15039552.52,4306124.533,1758055.4,1069194.583,4600471.967,3767528.883,5733547.8,1801127.233,1303379.95,2565089.2,2749173.783,2631257.783,2209595.7,3240050.467,1158067.617,7581013,1939636.95,1476320.8
2009,7,JULIO,1173038,3124009.9,624540.4,815669.9,2723071.9,642299.1,4746267.9,3389962.9,8838063.6,1620552.3,5427116,3361411.4,2633067.6,7290825.1,15059025.3,4312540.6,1760794.2,1071449.5,4608041.4,3772447.9,5740159.4,1804957.2,1306551.1,2568007.6,2751829.1,2635718.1,2213739.6,3244122.4,1159763.1,7589896,1941914.1,1478370.4
2009,8,AGOSTO,1175031,3129186.583,626621.3333,816798.4167,2727291.75,643675.0833,4754653.25,3392713.25,8840233,1622615.917,5436992,3365970.833,2638392.667,7300801.25,15078498.08,4318956.667,1763533,1073704.417,4615610.833,3777366.917,5746771,1808787.167,1309722.25,2570926,2754484.417,2640178.417,2217883.5,3248194.333,1161458.583,7598779,1944191.25,1480420
2009,9,SEPTIEMBRE,1177024,3134363.267,628702.2667,817926.9333,2731511.6,645051.0667,4763038.6,3395463.6,8842402.4,1624679.533,5446868,3370530.267,2643717.733,7310777.4,15097970.87,4325372.733,1766271.8,1075959.333,4623180.267,3782285.933,5753382.6,1812617.133,1312893.4,2573844.4,2757139.733,2644638.733,2222027.4,3252266.267,1163154.067,7607662,1946468.4,1482469.6
2009,10,OCTUBRE,1179017,3139539.95,630783.2,819055.45,2735731.45,646427.05,4771423.95,3398213.95,8844571.8,1626743.15,5456744,3375089.7,2649042.8,7320753.55,15117443.65,4331788.8,1769010.6,1078214.25,4630749.7,3787204.95,5759994.2,1816447.1,1316064.55,2576762.8,2759795.05,2649099.05,2226171.3,3256338.2,1164849.55,7616545,1948745.55,1484519.2
2009,11,NOVIEMBRE,1181010,3144716.633,632864.1333,820183.9667,2739951.3,647803.0333,4779809.3,3400964.3,8846741.2,1628806.767,5466620,3379649.133,2654367.867,7330729.7,15136916.43,4338204.867,1771749.4,1080469.167,4638319.133,3792123.967,5766605.8,1820277.067,1319235.7,2579681.2,2762450.367,2653559.367,2230315.2,3260410.133,1166545.033,7625428,1951022.7,1486568.8
2009,12,DICIEMBRE,1183003,3149893.317,634945.0667,821312.4833,2744171.15,649179.0167,4788194.65,3403714.65,8848910.6,1630870.383,5476496,3384208.567,2659692.933,7340705.85,15156389.22,4344620.933,1774488.2,1082724.083,4645888.567,3797042.983,5773217.4,1824107.033,1322406.85,2582599.6,2765105.683,2658019.683,2234459.1,3264482.067,1168240.517,7634311,1953299.85,1488618.4
2010,1,ENERO,1184996,3155070,637026,822441,2748391,650555,4796580,3406465,8851080,1632934,5486372,3388768,2665018,7350682,15175862,4351037,1777227,1084979,4653458,3801962,5779829,1827937,1325578,2585518,2767761,2662480,2238603,3268554,1169936,7643194,1955577,1490668
